,car,glass,plate,truck,Vehicles,Dinnerware,closer to vehicles,closer to dinnerware,,,,,
133,0.0853103796,0.0918963956,0.0858134792,0.0827382182,0.0840242989,0.0888549374,True,False,,,,,
134,0.1993333414,0.1426623484,0.1664169256,0.1644370513,0.1818851964,0.154539637,False,True,,,,,
135,0.1091690064,0.0835772389,0.0986408284,0.0756402496,0.092404628,0.0911090336,False,True,,,,,
136,0.068354966,0.0466571691,0.0405153893,0.061329383,0.0648421745,0.0435862792,False,True,,,,,
137,0.0797089308,0.0774770446,0.0639038286,0.0548024842,0.0672557075,0.0706904366,True,False,,,,,
138,0.1675923613,0.1378599714,0.1403139314,0.1164065594,0.1419994603,0.1390869514,False,True,,,,,
139,0.0912135713,0.0977437739,0.1049965373,0.076618591,0.0839160811,0.1013701556,True,False,,,,,
140,0.0823112178,0.107153275,0.0911367265,0.0903245072,0.0863178625,0.0991450007,True,False,,,,,
141,0.0828256902,0.1288420292,0.1403911828,0.1266530531,0.1047393716,0.134616606,True,False,,,,,
142,0.1264758082,0.1208391552,0.143177237,0.1139747196,0.1202252639,0.1320081961,True,False,,,,,
143,0.0821658727,0.113790153,0.1045018372,0.0940484044,0.0881071386,0.1091459951,True,False,,,,,
144,0.083013322,0.0663190094,0.0643750799,0.0497049359,0.0663591289,0.0653470447,False,True,,,,,
145,0.190405188,0.1159489513,0.1571066905,0.116844543,0.1536248655,0.1365278209,False,True,,,,,
146,0.1226807134,0.1702619342,0.1447123502,0.129613715,0.1261472142,0.1574871422,True,False,,,,,
147,0.0575011917,0.0597765011,0.0665707353,0.0496221398,0.0535616658,0.0631736182,True,False,,,,,
148,0.067065286,0.0810453485,0.0600093196,0.052727258,0.059896272,0.070527334,True,False,,,,,
149,0.0775522,0.0691163294,0.0904481896,0.0642080531,0.0708801266,0.0797822595,True,False,,,,,
150,0.1121814298,0.114396888,0.1123562744,0.1085380666,0.1103597482,0.1133765812,True,False,,,,,
151,0.063168017,0.1021833835,0.117768025,0.071923006,0.0675455115,0.1099757043,True,False,,,,,
152,0.0989624785,0.1312731307,0.0847670154,0.0904263766,0.0946944275,0.1080200731,True,False,,,,,
153,0.0887719632,0.1098855284,0.0857303564,0.0759734218,0.0823726925,0.0978079424,True,False,,,,,
154,0.0698780562,0.0752240265,0.0892069402,0.0862483322,0.0780631942,0.0822154833,True,False,,,,,
155,0.1249788376,0.1274593031,0.1256632944,0.1656773468,0.1453280922,0.1265612988,False,True,,,,,
156,0.1114297017,0.1494026728,0.1305779729,0.0733400953,0.0923848985,0.1399903228,True,False,,,,,
157,0.1450414699,0.1187111115,0.1028120542,0.0947253606,0.1198834152,0.1107615829,False,True,,,,,
158,0.08534394,0.1124926502,0.0962629645,0.0712164251,0.0782801826,0.1043778074,True,False,,,,,
159,0.0561510976,0.0921031338,0.0577961881,0.0522156784,0.054183388,0.074949661,True,False,,,,,
160,0.0712689246,0.0859453268,0.0794939612,0.0834202056,0.0773445651,0.082719644,True,False,,,,,
161,0.1592701742,0.1540928306,0.1911797708,0.1517961035,0.1555331388,0.1726363007,True,False,,,,,
162,0.1025228167,0.0754509545,0.1047176012,0.066358584,0.0844407003,0.0900842779,True,False,,,,,
163,0.0717010758,0.0644482936,0.0784015302,0.0537821017,0.0627415888,0.0714249119,True,False,,,,,
164,0.1097947854,0.1805567299,0.1661850036,0.1144790922,0.1121369388,0.1733708667,True,False,,,,,
165,0.0759079812,0.1175490444,0.1253713564,0.0865752177,0.0812415994,0.1214602004,True,False,,,,,
166,0.1273776831,0.1234416966,0.143330367,0.0863159302,0.1068468066,0.1333860318,True,False,,,,,
167,0.1306467515,0.0754680599,0.0639144108,0.0696391012,0.1001429264,0.0696912354,False,True,,,,,
168,0.1587225963,0.1319553589,0.1612800548,0.1006827666,0.1297026814,0.1466177068,True,False,,,,,
169,0.1134889948,0.122217183,0.1140293461,0.1377788847,0.1256339397,0.1181232645,False,True,,,,,
170,0.2085516421,0.2122014588,0.1868253491,0.2079465702,0.2082491061,0.1995134039,False,True,,,,,
171,0.1294056143,0.0991213331,0.1072798733,0.1088589201,0.1191322672,0.1032006032,False,True,,,,,
172,0.1517361226,0.1169062481,0.066422313,0.0715714079,0.1116537653,0.0916642805,False,True,,,,,
173,0.0780641934,0.075579155,0.0885355194,0.0732279664,0.0756460799,0.0820573372,True,False,,,,,
174,0.1001675095,0.1014964612,0.0949161109,0.1162185746,0.1081930421,0.098206286,False,True,,,,,
175,0.1317672356,0.083737454,0.1213860446,0.0786979845,0.10523261,0.1025617493,False,True,,,,,
176,0.0791909119,0.0627458095,0.0697015529,0.0473122887,0.0632516003,0.0662236812,True,False,,,,,
177,0.0976536657,0.1144815056,0.0798159531,0.0844419214,0.0910477935,0.0971487293,True,False,,,,,
178,0.0985504154,0.1157471887,0.0871789157,0.0741859524,0.0863681839,0.1014630522,True,False,,,,,
179,0.0911515786,0.0887338215,0.0959426306,0.0575672253,0.074359402,0.092338226,True,False,,,,,
180,0.1126478995,0.0828133165,0.0803824116,0.0758759983,0.0942619489,0.081597864,False,True,,,,,
181,0.1071207358,0.129076011,0.1020252862,0.1155916637,0.1113561997,0.1155506486,True,False,,,,,
182,0.1189085205,0.1597726108,0.1225880329,0.1231659735,0.121037247,0.1411803219,True,False,,,,,
183,0.1063623894,0.0903333633,0.1073914027,0.0850847984,0.0957235939,0.098862383,True,False,,,,,
184,0.0882342724,0.0828593961,0.098014368,0.0823391416,0.085286707,0.0904368821,True,False,,,,,
185,0.1891526009,0.1471294503,0.1517822241,0.1005848342,0.1448687176,0.1494558372,True,False,,,,,
186,0.0598021303,0.0881854414,0.0642246097,0.0554194859,0.0576108081,0.0762050256,True,False,,,,,
187,0.0639712017,0.0540699424,0.0931893676,0.0433120665,0.0536416341,0.073629655,True,False,,,,,
188,0.0645689999,0.1174652195,0.1595186064,0.1289099694,0.0967394847,0.138491913,True,False,,,,,
189,0.1592539353,0.1780399832,0.1151369778,0.0983141487,0.128784042,0.1465884805,True,False,,,,,
190,0.1107308392,0.1226328243,0.0945059712,0.0830571886,0.0968940139,0.1085693978,True,False,,,,,
191,0.0618587833,0.0591341702,0.0788907414,0.0540882419,0.0579735126,0.0690124558,True,False,,,,,
192,0.0659556551,0.0947259,0.0746483521,0.0578981654,0.0619269102,0.084687126,True,False,,,,,
193,0.0658510702,0.0956236331,0.0923553618,0.0770119101,0.0714314902,0.0939894974,True,False,,,,,
194,0.0788734168,0.0983237021,0.1135508487,0.0836908436,0.0812821302,0.1059372754,True,False,,,,,
195,0.1228308075,0.105247704,0.1059424281,0.1088737965,0.115852302,0.1055950661,False,True,,,,,
196,0.0650196159,0.0440194516,0.0635578152,0.0415352733,0.0532774446,0.0537886334,True,False,,,,,
197,0.0675135246,0.0950079306,0.0658296573,0.0609590417,0.0642362831,0.080418794,True,False,,,,,
198,0.0828005234,0.0773061492,0.0734420677,0.0593342242,0.0710673738,0.0753741084,True,False,,,,,
199,0.0879367387,0.0526002897,0.0711725235,0.0780359092,0.0829863239,0.0618864066,False,True,,,,,
200,0.1449437625,0.1458273546,0.1457261823,0.1068617312,0.1259027468,0.1457767685,True,False,,,,,
201,0.1605818795,0.1159194148,0.1104308328,0.0969633156,0.1287725975,0.1131751238,False,True,,,,,
202,0.1462033649,0.1447044675,0.1767059054,0.1603077958,0.1532555804,0.1607051865,True,False,,,,,
203,0.0674696962,0.1132509211,0.094091746,0.0771234911,0.0722965937,0.1036713336,True,False,,,,,
204,0.1054777916,0.1124554436,0.1509363906,0.1128053387,0.1091415652,0.1316959171,True,False,,,,,
205,0.052505186,0.0725002452,0.0531045264,0.0536232207,0.0530642034,0.0628023858,True,False,,,,,
206,0.1167654728,0.134947276,0.1645100679,0.1540203238,0.1353928983,0.1497286719,True,False,,,,,
207,0.0593380275,0.0924489039,0.0694349107,0.0618726779,0.0606053527,0.0809419073,True,False,,,,,
208,0.1199977953,0.1148719194,0.1560172482,0.0794442591,0.0997210272,0.1354445838,True,False,,,,,
209,0.0561846237,0.0405251799,0.0399407122,0.0421292021,0.0491569129,0.040232946,False,True,,,,,
210,0.1067213625,0.1415423573,0.1941566158,0.1121164639,0.1094189132,0.1678494865,True,False,,,,,
211,0.0638502556,0.0690160449,0.0703109343,0.0443682461,0.0541092508,0.0696634896,True,False,,,,,
212,0.0765794914,0.1084668415,0.0781105409,0.0835443122,0.0800619018,0.0932886912,True,False,,,,,
213,0.1184070716,0.0973974055,0.123116255,0.090443242,0.1044251568,0.1102568302,True,False,,,,,
214,0.0553948463,0.0646191906,0.0959268739,0.0678056049,0.0616002256,0.0802730322,True,False,,,,,
215,0.1073051414,0.1015027057,0.1174840478,0.0858066089,0.0965558751,0.1094933768,True,False,,,,,
216,0.0456670347,0.0652566164,0.0711133467,0.0371998197,0.0414334272,0.0681849816,True,False,,,,,
217,0.0608658524,0.0620761333,0.0605308792,0.0632435674,0.0620547099,0.0613035063,False,True,,,,,
218,0.0536038634,0.0573381045,0.0454021872,0.0503988572,0.0520013603,0.0513701459,False,True,,,,,
219,0.0813289538,0.0905958265,0.0992613922,0.0994965423,0.0904127481,0.0949286094,True,False,,,,,
220,0.0757712984,0.0602907432,0.0656479001,0.0627419444,0.0692566214,0.0629693216,False,True,,,,,
221,0.0893429668,0.1474663964,0.1242445522,0.1020743002,0.0957086335,0.1358554743,True,False,,,,,
222,0.0797626086,0.1149768229,0.0916405421,0.0623242058,0.0710434072,0.1033086825,True,False,,,,,
223,0.1032334427,0.0892666864,0.0882623161,0.1088363431,0.1060348929,0.0887645013,False,True,,,,,
224,0.1221139588,0.1026657066,0.1091858159,0.1142466281,0.1181802934,0.1059257613,False,True,,,,,
225,0.0966328432,0.0919376017,0.1179810086,0.0758572889,0.086245066,0.1049593051,True,False,,,,,
226,0.1071844356,0.1247152452,0.1318349294,0.1476378552,0.1274111454,0.1282750873,True,False,,,,,
227,0.1078636712,0.1037351105,0.0865433894,0.0577798876,0.0828217794,0.0951392499,True,False,,,,,
228,0.1016461638,0.1010106886,0.070409723,0.0839297254,0.0927879446,0.0857102058,False,True,,,,,
229,0.0950712327,0.1151214414,0.0853789743,0.0617202021,0.0783957174,0.1002502078,True,False,,,,,
