,random_100,socialstudies_industrialarts_100,industrialarts_socialstudies_100,random_200,socialstudies_industrialarts_200,industrialarts_socialstudies_200,random_300,socialstudies_industrialarts_300,industrialarts_socialstudies_300
88,0.4705882353,0.4598540146,0.5748031496,0.5384615385,0.5325670498,0.5625,0.5113350126,0.5,0.5584415584
89,0.4184397163,0.5384615385,0.5037593985,0.5094339623,0.5151515152,0.4705882353,0.4778325123,0.5345268542,0.5189873418
90,0.4705882353,0.4705882353,0.5037593985,0.4925373134,0.4705882353,0.4598540146,0.5075376884,0.4814814815,0.4851485149
91,0.4814814815,0.6,0.4925373134,0.5037593985,0.5384615385,0.5094339623,0.4888337469,0.5267175573,0.5384615385
92,0.4285714286,0.5267175573,0.4705882353,0.4925373134,0.5209125475,0.4869888476,0.4851485149,0.5625,0.4925373134
93,0.4814814815,0.5625,0.4925373134,0.5325670498,0.4869888476,0.4652014652,0.5228426396,0.4925373134,0.4962593516
94,0.4925373134,0.5384615385,0.4925373134,0.5037593985,0.5151515152,0.593625498,0.4888337469,0.5189873418,0.5384615385
95,0.5037593985,0.5267175573,0.5037593985,0.4869888476,0.5444015444,0.5444015444,0.4563106796,0.5345268542,0.5306122449
96,0.4705882353,0.5037593985,0.4492753623,0.5444015444,0.4869888476,0.5037593985,0.5189873418,0.5267175573,0.5267175573
97,0.4925373134,0.4492753623,0.5151515152,0.5384615385,0.4492753623,0.4814814815,0.5544041451,0.4778325123,0.5544041451
98,0.4705882353,0.4925373134,0.5503875969,0.5384615385,0.4869888476,0.4981273408,0.5189873418,0.4851485149,0.4962593516
99,0.5384615385,0.4598540146,0.4598540146,0.5564202335,0.4440433213,0.4760147601,0.5151515152,0.4962593516,0.4888337469
